% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1371,5,12,"[84.67, 0.74]",84.67,84.67,
0,1371,6,14,"[5.95, 86.14]",86.14,86.14,
0,1371,7,16,"[0.0, 46.57]",46.57,86.14,
0,1371,8,18,"[6.23, 66.03]",66.03,86.14,
0,1371,9,20,"[38.79, 31.85]",38.79,86.14,
0,1372,0,2,"[1.37, 4.92]",4.92,4.92,
0,1372,1,4,"[11.77, 11.99]",11.99,11.99,
0,1372,2,6,"[34.6, 7.88]",34.6,34.6,
0,1372,3,8,"[0.0, 25.64]",25.64,34.6,
0,1372,4,10,"[29.45, 10.04]",29.45,34.6,
0,1372,5,12,"[31.66, 49.48]",49.48,49.48,
0,1372,6,14,"[7.54, 71.81]",71.81,71.81,
0,1372,7,16,"[92.19, 99.98]",99.98,99.98,
0,1372,8,18,"[99.22, 62.33]",99.22,99.98,
0,1372,9,20,"[98.38, 43.84]",98.38,99.98,
0,1373,0,2,"[3.38, 24.55]",24.55,24.55,
0,1373,1,4,"[0.0, 0.0]",0.0,24.55,
0,1373,2,6,"[84.03, 49.48]",84.03,84.03,
0,1373,3,8,"[9.96, 36.73]",36.73,84.03,
0,1373,4,10,"[98.38, 26.69]",98.38,98.38,
0,1373,5,12,"[28.9, 60.29]",60.29,98.38,
0,1373,6,14,"[99.81, 0.51]",99.81,99.81,
0,1373,7,16,"[43.12, 80.86]",80.86,99.81,
0,1373,8,18,"[92.19, 80.65]",92.19,99.81,
0,1373,9,20,"[99.22, 25.77]",99.22,99.81,
0,1374,0,2,"[0.0, 11.68]",11.68,11.68,
0,1374,1,4,"[29.45, 7.88]",29.45,29.45,
0,1374,2,6,"[0.0, 21.09]",21.09,29.45,
0,1374,3,8,"[3.04, 18.95]",18.95,29.45,
0,1374,4,10,"[16.91, 34.6]",34.6,34.6,
0,1374,5,12,"[24.55, 7.74]",24.55,34.6,
0,1374,6,14,"[10.04, 25.64]",25.64,34.6,
0,1374,7,16,"[31.66, 18.93]",31.66,34.6,
0,1374,8,18,"[0.0, 44.4]",44.4,44.4,
0,1374,9,20,"[2.53, 0.0]",2.53,44.4,
0,1375,0,2,"[11.61, 2.79]",11.61,11.61,
0,1375,1,4,"[16.91, 0.0]",16.91,16.91,
0,1375,2,6,"[36.73, 6.87]",36.73,36.73,
0,1375,3,8,"[8.95, 71.81]",71.81,71.81,
0,1375,4,10,"[3.33, 19.13]",19.13,71.81,
