ZIP Encoding,Monte_Carlo_Run,Iteration,Number of experiments,MEDV_Measurements,MEDV_IterBest,Running best house price
Latitude-Longitude,2,22,23,[2.8],2.8,5.00001
Latitude-Longitude,2,23,24,[5.00001],5.00001,5.00001
Latitude-Longitude,2,24,25,[5.00001],5.00001,5.00001
Latitude-Longitude,2,25,26,[1.55],1.55,5.00001
Latitude-Longitude,2,26,27,[4.94554267],4.945542666666666,5.00001
Latitude-Longitude,2,27,28,[4.74493077],4.744930769230769,5.00001
Latitude-Longitude,2,28,29,[4.87069079],4.870690789473684,5.00001
Latitude-Longitude,2,29,30,[4.12352789],4.123527894736842,5.00001
Latitude-Longitude,2,30,31,[4.30095682],4.300956818181818,5.00001
Latitude-Longitude,2,31,32,[4.217502],4.217502,5.00001
Latitude-Longitude,2,32,33,[4.190004],4.190004,5.00001
Latitude-Longitude,2,33,34,[2.54627273],2.5462727272727275,5.00001
Latitude-Longitude,2,34,35,[5.00001],5.00001,5.00001
Latitude-Longitude,2,35,36,[4.31493357],4.314933571428571,5.00001
Latitude-Longitude,2,36,37,[1.84985714],1.8498571428571429,5.00001
Latitude-Longitude,2,37,38,[2.51981909],2.519819090909091,5.00001
Latitude-Longitude,2,38,39,[4.91665214],4.916652142857143,5.00001
Latitude-Longitude,2,39,40,[4.53211444],4.532114444444444,5.00001
Latitude-Longitude,2,40,41,[4.33281563],4.332815625,5.00001
Latitude-Longitude,2,41,42,[1.208],1.208,5.00001
Latitude-Longitude,2,42,43,[5.00001],5.00001,5.00001
Latitude-Longitude,2,43,44,[4.40975],4.40975,5.00001
Latitude-Longitude,2,44,45,[0.595],0.595,5.00001
Latitude-Longitude,2,45,46,[0.945],0.945,5.00001
Latitude-Longitude,2,46,47,[1.297],1.297,5.00001
Latitude-Longitude,2,47,48,[0.58266667],0.5826666666666668,5.00001
Latitude-Longitude,2,48,49,[3.42656733],3.4265673333333333,5.00001
Latitude-Longitude,2,49,50,[3.31368474],3.313684736842105,5.00001
OHE,2,0,1,[1.084],1.084,1.084
OHE,2,1,2,[0.6616],0.6616,1.084
OHE,2,2,3,[1.80936364],1.8093636363636365,1.8093636363636365
OHE,2,3,4,[3.675501],3.675501,3.675501
OHE,2,4,5,[0.664375],0.664375,3.675501
OHE,2,5,6,[2.372],2.372,3.675501
OHE,2,6,7,[2.03828571],2.0382857142857143,3.675501
OHE,2,7,8,[1.6895],1.6895,3.675501
OHE,2,8,9,[3.46407769],3.464077692307692,3.675501
