% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,38,4,10,"[88.41, 44.74]",88.41,88.41,
0,38,5,12,"[50.93, 7.71]",50.93,88.41,
0,38,6,14,"[67.04, 42.3]",67.04,88.41,
0,38,7,16,"[25.5, 56.57]",56.57,88.41,
0,38,8,18,"[26.5, 24.56]",26.5,88.41,
0,38,9,20,"[67.17, 86.46]",86.46,88.41,
0,39,0,2,"[0.0, 14.58]",14.58,14.58,
0,39,1,4,"[15.21, 16.28]",16.28,16.28,
0,39,2,6,"[21.34, 49.4]",49.4,49.4,
0,39,3,8,"[76.02, 21.46]",76.02,76.02,
0,39,4,10,"[60.48, 62.32]",62.32,76.02,
0,39,5,12,"[16.71, 40.02]",40.02,76.02,
0,39,6,14,"[56.45, 2.55]",56.45,76.02,
0,39,7,16,"[24.25, 14.36]",24.25,76.02,
0,39,8,18,"[29.06, 46.53]",46.53,76.02,
0,39,9,20,"[73.59, 9.59]",73.59,76.02,
0,40,0,2,"[14.73, 21.46]",21.46,21.46,
0,40,1,4,"[62.32, 9.6]",62.32,62.32,
0,40,2,6,"[76.02, 37.73]",76.02,76.02,
0,40,3,8,"[60.48, 30.15]",60.48,76.02,
0,40,4,10,"[41.9, 9.72]",41.9,76.02,
0,40,5,12,"[49.17, 0.0]",49.17,76.02,
0,40,6,14,"[0.26, 10.34]",10.34,76.02,
0,40,7,16,"[29.06, 15.42]",29.06,76.02,
0,40,8,18,"[73.59, 13.89]",73.59,76.02,
0,40,9,20,"[87.59, 18.21]",87.59,87.59,
0,41,0,2,"[0.0, 0.0]",0.0,0.0,
0,41,1,4,"[2.21, 0.0]",2.21,2.21,
0,41,2,6,"[0.0, 2.41]",2.41,2.41,
0,41,3,8,"[0.0, 11.95]",11.95,11.95,
0,41,4,10,"[16.47, 13.01]",16.47,16.47,
0,41,5,12,"[0.0, 20.08]",20.08,20.08,
0,41,6,14,"[23.5, 19.82]",23.5,23.5,
0,41,7,16,"[26.69, 8.31]",26.69,26.69,
0,41,8,18,"[32.14, 69.13]",69.13,69.13,
0,41,9,20,"[18.44, 48.21]",48.21,69.13,
0,42,0,2,"[0.0, 0.0]",0.0,0.0,
0,42,1,4,"[12.12, 9.59]",12.12,12.12,
0,42,2,6,"[16.82, 60.48]",60.48,60.48,
0,42,3,8,"[29.06, 76.02]",76.02,76.02,
0,42,4,10,"[73.59, 62.32]",73.59,76.02,
0,42,5,12,"[21.0, 16.71]",21.0,76.02,
0,42,6,14,"[21.46, 40.02]",40.02,76.02,
0,42,7,16,"[13.89, 26.88]",26.88,76.02,
0,42,8,18,"[49.17, 86.46]",86.46,86.46,
0,42,9,20,"[76.33, 63.13]",76.33,86.46,
0,43,0,2,"[30.29, 0.0]",30.29,30.29,
0,43,1,4,"[19.32, 45.21]",45.21,45.21,
0,43,2,6,"[9.59, 29.06]",29.06,45.21,
0,43,3,8,"[17.98, 49.4]",49.4,49.4,
0,43,4,10,"[73.59, 14.51]",73.59,73.59,
0,43,5,12,"[76.02, 46.99]",76.02,76.02,
0,43,6,14,"[13.89, 26.28]",26.28,76.02,
0,43,7,16,"[62.32, 37.73]",62.32,76.02,
0,43,8,18,"[26.29, 49.17]",49.17,76.02,
0,43,9,20,"[15.42, 0.26]",15.42,76.02,
0,44,0,2,"[0.0, 14.83]",14.83,14.83,
0,44,1,4,"[51.37, 21.51]",51.37,51.37,
0,44,2,6,"[57.84, 83.22]",83.22,83.22,
0,44,3,8,"[87.59, 83.25]",87.59,87.59,
0,44,4,10,"[55.7, 83.85]",83.85,87.59,
0,44,5,12,"[81.63, 62.73]",81.63,87.59,
0,44,6,14,"[71.57, 49.17]",71.57,87.59,
0,44,7,16,"[89.76, 54.67]",89.76,89.76,
0,44,8,18,"[91.11, 48.15]",91.11,91.11,
0,44,9,20,"[16.46, 25.35]",25.35,91.11,
0,45,0,2,"[4.43, 6.39]",6.39,6.39,
0,45,1,4,"[14.92, 78.95]",78.95,78.95,
0,45,2,6,"[29.31, 82.09]",82.09,82.09,
0,45,3,8,"[0.0, 10.51]",10.51,82.09,
0,45,4,10,"[68.33, 88.41]",88.41,88.41,
0,45,5,12,"[38.03, 84.81]",84.81,88.41,
