% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,46,0,2,"[8.45, 6.77]",8.45,8.45,
0,46,1,4,"[16.95, 16.15]",16.95,16.95,
0,46,2,6,"[20.67, 28.9]",28.9,28.9,
0,46,3,8,"[43.84, 30.41]",43.84,43.84,
0,46,4,10,"[84.03, 38.8]",84.03,84.03,
0,46,5,12,"[65.32, 61.09]",65.32,84.03,
0,46,6,14,"[18.93, 23.23]",23.23,84.03,
0,46,7,16,"[36.73, 3.55]",36.73,84.03,
0,46,8,18,"[18.19, 54.55]",54.55,84.03,
0,46,9,20,"[6.26, 75.4]",75.4,84.03,
0,47,0,2,"[10.13, 36.73]",36.73,36.73,
0,47,1,4,"[43.22, 63.2]",63.2,63.2,
