% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,25,5,12,"[69.2, 53.52]",69.2,99.98,
0,25,6,14,"[71.81, 36.73]",71.81,99.98,
0,25,7,16,"[36.46, 28.37]",36.46,99.98,
0,25,8,18,"[99.22, 0.0]",99.22,99.98,
0,25,9,20,"[100.0, 62.33]",100.0,100.0,
0,26,0,2,"[9.61, 63.88]",63.88,63.88,
0,26,1,4,"[36.97, 85.21]",85.21,85.21,
0,26,2,6,"[39.57, 10.05]",39.57,85.21,
0,26,3,8,"[22.3, 5.65]",22.3,85.21,
0,26,4,10,"[11.77, 8.84]",11.77,85.21,
0,26,5,12,"[43.12, 6.48]",43.12,85.21,
0,26,6,14,"[11.68, 7.88]",11.68,85.21,
0,26,7,16,"[20.72, 8.95]",20.72,85.21,
0,26,8,18,"[13.79, 5.95]",13.79,85.21,
0,26,9,20,"[24.05, 98.38]",98.38,98.38,
0,27,0,2,"[27.79, 7.34]",27.79,27.79,
0,27,1,4,"[40.06, 5.7]",40.06,40.06,
0,27,2,6,"[48.34, 82.28]",82.28,82.28,
0,27,3,8,"[80.39, 60.68]",80.39,82.28,
0,27,4,10,"[84.49, 48.91]",84.49,84.49,
0,27,5,12,"[84.48, 84.67]",84.67,84.67,
0,27,6,14,"[48.86, 44.48]",48.86,84.67,
0,27,7,16,"[76.24, 86.14]",86.14,86.14,
0,27,8,18,"[81.66, 6.23]",81.66,86.14,
0,27,9,20,"[53.49, 38.79]",53.49,86.14,
0,28,0,2,"[17.53, 63.2]",63.2,63.2,
0,28,1,4,"[96.38, 0.0]",96.38,96.38,
0,28,2,6,"[99.98, 50.75]",99.98,99.98,
0,28,3,8,"[80.86, 19.99]",80.86,99.98,
0,28,4,10,"[80.65, 0.0]",80.65,99.98,
0,28,5,12,"[53.52, 28.37]",53.52,99.98,
0,28,6,14,"[69.2, 71.81]",71.81,99.98,
0,28,7,16,"[52.23, 45.37]",52.23,99.98,
0,28,8,18,"[39.2, 30.77]",39.2,99.98,
0,28,9,20,"[36.73, 58.48]",58.48,99.98,
0,29,0,2,"[20.51, 0.0]",20.51,20.51,
0,29,1,4,"[23.1, 21.09]",23.1,23.1,
0,29,2,6,"[22.3, 13.99]",22.3,23.1,
0,29,3,8,"[25.64, 31.43]",31.43,31.43,
0,29,4,10,"[36.7, 33.6]",36.7,36.7,
0,29,5,12,"[27.05, 16.91]",27.05,36.7,
0,29,6,14,"[13.79, 34.53]",34.53,36.7,
0,29,7,16,"[14.19, 10.04]",14.19,36.7,
