% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1381,1,4,"[11.61, 0.0]",11.61,75.39,
0,1381,2,6,"[0.12, 8.84]",8.84,75.39,
0,1381,3,8,"[6.0, 0.0]",6.0,75.39,
0,1381,4,10,"[44.48, 39.32]",44.48,75.39,
0,1381,5,12,"[40.06, 0.0]",40.06,75.39,
0,1381,6,14,"[30.44, 81.66]",81.66,81.66,
0,1381,7,16,"[53.49, 50.69]",53.49,81.66,
0,1381,8,18,"[0.0, 4.2]",4.2,81.66,
0,1381,9,20,"[5.49, 87.0]",87.0,87.0,
0,1382,0,2,"[14.36, 0.83]",14.36,14.36,
0,1382,1,4,"[2.84, 34.47]",34.47,34.47,
0,1382,2,6,"[1.95, 14.19]",14.19,34.47,
0,1382,3,8,"[46.33, 8.17]",46.33,46.33,
0,1382,4,10,"[55.96, 7.12]",55.96,55.96,
0,1382,5,12,"[100.0, 0.0]",100.0,100.0,
0,1382,6,14,"[90.39, 100.0]",100.0,100.0,
