Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1345,32,33,[100.0],100.0,100.0
MORDRED,1345,33,34,[26.69],26.69,100.0
MORDRED,1345,34,35,[87.0],87.0,100.0
MORDRED,1345,35,36,[68.17],68.17,100.0
MORDRED,1345,36,37,[78.6],78.6,100.0
MORDRED,1345,37,38,[39.57],39.57,100.0
MORDRED,1345,38,39,[74.3],74.3,100.0
MORDRED,1345,39,40,[19.64],19.64,100.0
MORDRED,1346,0,1,[30.21],30.21,30.21
MORDRED,1346,1,2,[5.7],5.7,30.21
MORDRED,1346,2,3,[0.0],0.0,30.21
MORDRED,1346,3,4,[17.16],17.16,30.21
MORDRED,1346,4,5,[89.95],89.95,89.95
MORDRED,1346,5,6,[33.69],33.69,89.95
MORDRED,1346,6,7,[0.0],0.0,89.95
MORDRED,1346,7,8,[38.8],38.8,89.95
MORDRED,1346,8,9,[82.13],82.13,89.95
MORDRED,1346,9,10,[7.25],7.25,89.95
MORDRED,1346,10,11,[29.51],29.51,89.95
MORDRED,1346,11,12,[55.96],55.96,89.95
MORDRED,1346,12,13,[81.48],81.48,89.95
MORDRED,1346,13,14,[39.57],39.57,89.95
MORDRED,1346,14,15,[50.7],50.7,89.95
MORDRED,1346,15,16,[66.84],66.84,89.95
MORDRED,1346,16,17,[3.14],3.14,89.95
MORDRED,1346,17,18,[92.19],92.19,92.19
MORDRED,1346,18,19,[92.03],92.03,92.19
MORDRED,1346,19,20,[75.46],75.46,92.19
MORDRED,1346,20,21,[83.85],83.85,92.19
MORDRED,1346,21,22,[22.07],22.07,92.19
MORDRED,1346,22,23,[95.48],95.48,95.48
MORDRED,1346,23,24,[99.22],99.22,99.22
MORDRED,1346,24,25,[91.19],91.19,99.22
MORDRED,1346,25,26,[59.82],59.82,99.22
MORDRED,1346,26,27,[99.98],99.98,99.98
MORDRED,1346,27,28,[81.63],81.63,99.98
MORDRED,1346,28,29,[71.81],71.81,99.98
MORDRED,1346,29,30,[98.38],98.38,99.98
MORDRED,1346,30,31,[99.81],99.81,99.98
MORDRED,1346,31,32,[62.33],62.33,99.98
MORDRED,1346,32,33,[83.22],83.22,99.98
MORDRED,1346,33,34,[80.65],80.65,99.98
MORDRED,1346,34,35,[44.47],44.47,99.98
MORDRED,1346,35,36,[50.74],50.74,99.98
MORDRED,1346,36,37,[100.0],100.0,100.0
MORDRED,1346,37,38,[100.0],100.0,100.0
MORDRED,1346,38,39,[84.03],84.03,100.0
MORDRED,1346,39,40,[43.84],43.84,100.0
MORDRED,1347,0,1,[0.0],0.0,0.0
MORDRED,1347,1,2,[3.96],3.96,3.96
MORDRED,1347,2,3,[33.69],33.69,33.69
MORDRED,1347,3,4,[75.46],75.46,75.46
MORDRED,1347,4,5,[0.0],0.0,75.46
MORDRED,1347,5,6,[84.03],84.03,84.03
MORDRED,1347,6,7,[43.84],43.84,84.03
MORDRED,1347,7,8,[13.02],13.02,84.03
MORDRED,1347,8,9,[50.7],50.7,84.03
MORDRED,1347,9,10,[26.22],26.22,84.03
MORDRED,1347,10,11,[52.2],52.2,84.03
MORDRED,1347,11,12,[3.55],3.55,84.03
MORDRED,1347,12,13,[25.45],25.45,84.03
MORDRED,1347,13,14,[62.75],62.75,84.03
MORDRED,1347,14,15,[99.81],99.81,99.81
MORDRED,1347,15,16,[0.0],0.0,99.81
MORDRED,1347,16,17,[98.38],98.38,99.81
MORDRED,1347,17,18,[80.86],80.86,99.81
MORDRED,1347,18,19,[96.64],96.64,99.81
MORDRED,1347,19,20,[83.22],83.22,99.81
MORDRED,1347,20,21,[5.95],5.95,99.81
MORDRED,1347,21,22,[80.65],80.65,99.81
MORDRED,1347,22,23,[92.19],92.19,99.81
MORDRED,1347,23,24,[79.1],79.1,99.81
MORDRED,1347,24,25,[87.59],87.59,99.81
MORDRED,1347,25,26,[6.1],6.1,99.81
MORDRED,1347,26,27,[52.08],52.08,99.81
MORDRED,1347,27,28,[89.95],89.95,99.81
MORDRED,1347,28,29,[92.03],92.03,99.81
MORDRED,1347,29,30,[83.85],83.85,99.81
MORDRED,1347,30,31,[45.85],45.85,99.81
MORDRED,1347,31,32,[98.49],98.49,99.81
MORDRED,1347,32,33,[78.93],78.93,99.81
MORDRED,1347,33,34,[0.0],0.0,99.81
MORDRED,1347,34,35,[2.64],2.64,99.81
MORDRED,1347,35,36,[99.22],99.22,99.81
MORDRED,1347,36,37,[95.48],95.48,99.81
MORDRED,1347,37,38,[81.63],81.63,99.81
MORDRED,1347,38,39,[87.0],87.0,99.81
MORDRED,1347,39,40,[99.98],99.98,99.98
MORDRED,1348,0,1,[0.0],0.0,0.0
MORDRED,1348,1,2,[7.84],7.84,7.84
MORDRED,1348,2,3,[12.91],12.91,12.91
MORDRED,1348,3,4,[57.85],57.85,57.85
MORDRED,1348,4,5,[92.19],92.19,92.19
MORDRED,1348,5,6,[99.81],99.81,99.81
MORDRED,1348,6,7,[61.09],61.09,99.81
MORDRED,1348,7,8,[26.69],26.69,99.81
MORDRED,1348,8,9,[82.13],82.13,99.81
MORDRED,1348,9,10,[2.82],2.82,99.81
MORDRED,1348,10,11,[39.57],39.57,99.81
MORDRED,1348,11,12,[96.64],96.64,99.81
MORDRED,1348,12,13,[89.95],89.95,99.81
MORDRED,1348,13,14,[31.14],31.14,99.81
MORDRED,1348,14,15,[0.0],0.0,99.81
MORDRED,1348,15,16,[65.32],65.32,99.81
MORDRED,1348,16,17,[99.22],99.22,99.81
MORDRED,1348,17,18,[95.48],95.48,99.81
MORDRED,1348,18,19,[98.38],98.38,99.81
MORDRED,1348,19,20,[3.33],3.33,99.81
MORDRED,1348,20,21,[81.63],81.63,99.81
MORDRED,1348,21,22,[83.22],83.22,99.81
MORDRED,1348,22,23,[78.93],78.93,99.81
MORDRED,1348,23,24,[79.1],79.1,99.81
MORDRED,1348,24,25,[20.51],20.51,99.81
MORDRED,1348,25,26,[84.64],84.64,99.81
MORDRED,1348,26,27,[89.71],89.71,99.81
MORDRED,1348,27,28,[45.85],45.85,99.81
MORDRED,1348,28,29,[68.17],68.17,99.81
MORDRED,1348,29,30,[100.0],100.0,100.0
MORDRED,1348,30,31,[78.19],78.19,100.0
MORDRED,1348,31,32,[43.84],43.84,100.0
MORDRED,1348,32,33,[92.03],92.03,100.0
MORDRED,1348,33,34,[87.59],87.59,100.0
MORDRED,1348,34,35,[10.49],10.49,100.0
MORDRED,1348,35,36,[83.62],83.62,100.0
MORDRED,1348,36,37,[78.6],78.6,100.0
MORDRED,1348,37,38,[35.61],35.61,100.0
MORDRED,1348,38,39,[83.85],83.85,100.0
MORDRED,1348,39,40,[91.39],91.39,100.0
MORDRED,1349,0,1,[25.0],25.0,25.0
MORDRED,1349,1,2,[43.9],43.9,43.9
MORDRED,1349,2,3,[0.0],0.0,43.9
