% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1379,2,6,"[5.03, 0.0]",5.03,26.29,
0,1379,3,8,"[0.0, 7.71]",7.71,26.29,
0,1379,4,10,"[76.02, 21.46]",76.02,76.02,
0,1379,5,12,"[60.48, 16.71]",60.48,76.02,
0,1379,6,14,"[29.06, 62.32]",62.32,76.02,
0,1379,7,16,"[40.02, 21.0]",40.02,76.02,
0,1379,8,18,"[2.55, 13.89]",13.89,76.02,
0,1379,9,20,"[47.58, 87.59]",87.59,87.59,
0,1380,0,2,"[0.0, 46.75]",46.75,46.75,
0,1380,1,4,"[5.22, 5.47]",5.47,46.75,
0,1380,2,6,"[5.03, 0.0]",5.03,46.75,
0,1380,3,8,"[0.0, 7.71]",7.71,46.75,
0,1380,4,10,"[47.03, 78.95]",78.95,78.95,
0,1380,5,12,"[82.09, 1.71]",82.09,82.09,
0,1380,6,14,"[68.33, 62.6]",68.33,82.09,
0,1380,7,16,"[8.4, 0.0]",8.4,82.09,
0,1380,8,18,"[28.64, 87.59]",87.59,87.59,
0,1380,9,20,"[83.22, 83.85]",83.85,87.59,
0,1381,0,2,"[56.57, 4.06]",56.57,56.57,
0,1381,1,4,"[5.22, 5.47]",5.47,56.57,
0,1381,2,6,"[5.03, 0.0]",5.03,56.57,
0,1381,3,8,"[0.0, 7.71]",7.71,56.57,
0,1381,4,10,"[1.96, 50.93]",50.93,56.57,
0,1381,5,12,"[47.3, 84.17]",84.17,84.17,
0,1381,6,14,"[69.13, 7.69]",69.13,84.17,
0,1381,7,16,"[46.53, 59.81]",59.81,84.17,
0,1381,8,18,"[83.83, 67.17]",83.83,84.17,
0,1381,9,20,"[2.79, 36.98]",36.98,84.17,
0,1382,0,2,"[1.06, 0.83]",1.06,1.06,
0,1382,1,4,"[5.22, 5.47]",5.47,5.47,
0,1382,2,6,"[5.03, 0.0]",5.03,5.47,
0,1382,3,8,"[0.0, 7.71]",7.71,7.71,
0,1382,4,10,"[47.03, 78.95]",78.95,78.95,
0,1382,5,12,"[82.09, 62.6]",82.09,82.09,
0,1382,6,14,"[68.33, 0.0]",68.33,82.09,
