% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1377,2,6,"[52.08, 23.81]",52.08,53.02,
0,1377,3,8,"[98.38, 4.66]",98.38,98.38,
0,1377,4,10,"[92.19, 80.86]",92.19,98.38,
0,1377,5,12,"[99.22, 45.73]",99.22,99.22,
0,1377,6,14,"[0.51, 32.21]",32.21,99.22,
0,1377,7,16,"[95.48, 91.19]",95.48,99.22,
0,1377,8,18,"[81.63, 99.98]",99.98,99.98,
0,1377,9,20,"[50.74, 71.81]",71.81,99.98,
0,1378,0,2,"[50.7, 26.48]",50.7,50.7,
0,1378,1,4,"[4.78, 6.44]",6.44,50.7,
0,1378,2,6,"[52.08, 0.0]",52.08,52.08,
0,1378,3,8,"[9.35, 14.29]",14.29,52.08,
0,1378,4,10,"[98.38, 78.93]",98.38,98.38,
0,1378,5,12,"[76.59, 99.81]",99.81,99.81,
0,1378,6,14,"[92.19, 80.65]",92.19,99.81,
0,1378,7,16,"[43.12, 87.59]",87.59,99.81,
0,1378,8,18,"[79.1, 99.22]",99.22,99.81,
0,1378,9,20,"[4.3, 60.29]",60.29,99.81,
0,1379,0,2,"[83.62, 2.81]",83.62,83.62,
0,1379,1,4,"[0.89, 5.4]",5.4,83.62,
0,1379,2,6,"[92.03, 11.99]",92.03,92.03,
0,1379,3,8,"[0.0, 0.0]",0.0,92.03,
0,1379,4,10,"[98.38, 33.69]",98.38,98.38,
0,1379,5,12,"[96.64, 99.81]",99.81,99.81,
0,1379,6,14,"[89.95, 99.22]",99.22,99.81,
0,1379,7,16,"[92.19, 71.81]",92.19,99.81,
0,1379,8,18,"[81.63, 68.17]",81.63,99.81,
0,1379,9,20,"[76.59, 85.21]",85.21,99.81,
0,1380,0,2,"[0.0, 60.29]",60.29,60.29,
0,1380,1,4,"[13.88, 13.79]",13.88,60.29,
0,1380,2,6,"[52.47, 14.29]",52.47,60.29,
0,1380,3,8,"[80.86, 19.71]",80.86,80.86,
0,1380,4,10,"[98.38, 25.77]",98.38,98.38,
0,1380,5,12,"[96.64, 99.22]",99.22,99.22,
0,1380,6,14,"[52.08, 83.22]",83.22,99.22,
0,1380,7,16,"[76.59, 99.81]",99.81,99.81,
0,1380,8,18,"[4.3, 92.19]",92.19,99.81,
0,1380,9,20,"[87.59, 81.63]",87.59,99.81,
0,1381,0,2,"[78.6, 4.87]",78.6,78.6,
0,1381,1,4,"[3.04, 0.0]",3.04,78.6,
0,1381,2,6,"[2.13, 7.54]",7.54,78.6,
0,1381,3,8,"[17.0, 61.67]",61.67,78.6,
0,1381,4,10,"[0.74, 76.24]",76.24,78.6,
0,1381,5,12,"[84.67, 48.91]",84.67,84.67,
0,1381,6,14,"[5.95, 84.49]",84.49,84.67,
0,1381,7,16,"[77.01, 6.23]",77.01,84.67,
0,1381,8,18,"[80.39, 5.22]",80.39,84.67,
0,1381,9,20,"[48.34, 71.43]",71.43,84.67,
0,1382,0,2,"[12.01, 7.43]",12.01,12.01,
0,1382,1,4,"[5.65, 23.81]",23.81,23.81,
0,1382,2,6,"[4.78, 13.12]",13.12,23.81,
0,1382,3,8,"[12.25, 5.15]",12.25,23.81,
0,1382,4,10,"[7.65, 0.0]",7.65,23.81,
0,1382,5,12,"[5.16, 38.65]",38.65,38.65,
0,1382,6,14,"[95.48, 19.71]",95.48,95.48,
